character,defination
⺮,<big><font color='#f00' style='font-family: serif !important;'>zhú</font></big><br>• 'bamboo' radical in Chinese characters (Kangxi radical 118)<br>
㐆,<big><font color='#f00' style='font-family: serif !important;'>yǐn</font></big><br>• component in Chinese character 殷[yīn]<br>
㐌,<big><font color='#f00' style='font-family: serif !important;'>tā</font></big><br>• variant of 它[tā]<br>
㐜,<big><font color='#f00' style='font-family: serif !important;'>chóu</font></big><br>• variant of 仇[chóu]<br>
㐡,<big><font color='#f00' style='font-family: serif !important;'>nuò</font></big><br>• archaic variant of 懦[nuò]<br>
㐤,<big><font color='#f00' style='font-family: serif !important;'>qiú</font></big><br>• archaic variant of 求[qiú]<br>
㐫,<big><font color='#f00' style='font-family: serif !important;'>xiōng</font></big><br>• old variant of 凶[xiōng]<br>
㐰,<big><font color='#f00' style='font-family: serif !important;'>xìn</font></big><br>• old variant of 信[xìn]<br>
㐺,<big><font color='#f00' style='font-family: serif !important;'>zhòng</font></big><br>• old variant of 眾|众[zhòng]<br>
㑳,<font color='#f00'>ㄓㄡˋ</font><br>• (old) beautiful<br>• clever<br>
㒳,<big><font color='#f00' style='font-family: serif !important;'>liǎng</font></big><br>• old variant of 兩|两[liǎng]<br>
㒸,<big><font color='#f00' style='font-family: serif !important;'>suì</font></big><br>• archaic variant of 遂[suì]<br>
㒺,<big><font color='#f00' style='font-family: serif !important;'>wǎng</font></big><br>• old variant of 罔[wǎng]<br>
㓂,<big><font color='#f00' style='font-family: serif !important;'>kòu</font></big><br>• old variant of 寇[kòu]<br>
㔾,<big><font color='#f00' style='font-family: serif !important;'>jié</font></big><br>• 'seal' radical in Chinese characters (Kangxi radical 26)<br>
㕁,<big><font color='#f00' style='font-family: serif !important;'>què</font></big><br>• old variant of 卻|却[què]<br>
㕑,<big><font color='#f00' style='font-family: serif !important;'>chú</font></big><br>• old variant of 廚|厨[chú]<br>
㕥,<big><font color='#f00' style='font-family: serif !important;'>shēn</font></big><br>• old variant of 呻[shēn]<br>
㕥,<big><font color='#f00' style='font-family: serif !important;'>yǐ</font></big><br>• old variant of 以[yǐ]<br>
㕯,<big><font color='#f00' style='font-family: serif !important;'>nè</font></big><br>• old variant of 訥|讷[nè]<br>
㕻,<big><font color='#f00' style='font-family: serif !important;'>pǒu</font></big><br>• variant of 咅[pǒu]<br>• also pr. [tòu]<br>
㗂,<big><font color='#f00' style='font-family: serif !important;'>shěng</font></big><br>• variant of 省[shěng]<br>• tight-lipped<br>• to examine<br>• to watch<br>• to scour (esp. Cantonese)<br>
㗎,<font color='#f00'>ㄐㄧㄚˋ</font><br>• sentence-final particle, contraction of '嘅呀' (Cantonese)<br>• see also 嘅[kài]<br>
㘭,<big><font color='#f00' style='font-family: serif !important;'>ào</font></big><br>• variant of 坳[ào]<br>
㚻,<big><font color='#f00' style='font-family: serif !important;'>jī</font></big><br>• see 㚻姦|㚻奸[jī jiān]<br>
㛂,<font color='#f00'>ㄋㄨㄛˇ</font><br>• graceful<br>• frail and petite<br>
㝄,<big><font color='#f00' style='font-family: serif !important;'>chún</font></big><br>• old variant of 純|纯[chún]<br>
㝇,<big><font color='#f00' style='font-family: serif !important;'>chún</font></big><br>• old variant of 鶉|鹑[chún]<br>
㝛,<big><font color='#f00' style='font-family: serif !important;'>sù</font></big><br>• old variant of 宿[sù]<br>
㝠,<big><font color='#f00' style='font-family: serif !important;'>míng</font></big><br>• old variant of 冥[míng]<br>
㝡,<big><font color='#f00' style='font-family: serif !important;'>zuì</font></big><br>• variant of 最[zuì]<br>
㝵,<big><font color='#f00' style='font-family: serif !important;'>ài</font></big><br>• variant of 礙|碍[ài]<br>
㝵,<big><font color='#f00' style='font-family: serif !important;'>dé</font></big><br>• to obtain<br>• old variant of 得[dé]<br>
㞎,<big><font color='#f00' style='font-family: serif !important;'>bǎ</font></big><br>• (baby talk) poop<br>• see 㞎㞎[bǎ ba]<br>
㞗,<big><font color='#f00' style='font-family: serif !important;'>qiú</font></big><br>• (dialect) penis<br>• dick<br>
㞙,<big><font color='#f00' style='font-family: serif !important;'>niào</font></big><br>• old variant of 尿[niào]<br>
㞞,<font color='#f00'>ㄙㄨㄥˊ</font><br>• (coll.) semen<br>• weak and incompetent<br>
㟁,<big><font color='#f00' style='font-family: serif !important;'>àn</font></big><br>• variant of 岸[àn]<br>
㠀,<big><font color='#f00' style='font-family: serif !important;'>dǎo</font></big><br>• variant of 島|岛[dǎo]<br>
㠯,<big><font color='#f00' style='font-family: serif !important;'>yǐ</font></big><br>• old variant of 以[yǐ]<br>
㠶,<big><font color='#f00' style='font-family: serif !important;'>fān</font></big><br>• variant of 帆[fān]<br>
㡌,<big><font color='#f00' style='font-family: serif !important;'>mào</font></big><br>• old variant of 帽[mào]<br>
㢘,<big><font color='#f00' style='font-family: serif !important;'>lián</font></big><br>• old variant of 廉[lián]<br>
㢠,<big><font color='#f00' style='font-family: serif !important;'>jiǒng</font></big><br>• variant of 迥[jiǒng]<br>
㢲,<big><font color='#f00' style='font-family: serif !important;'>xùn</font></big><br>• variant of 巽[xùn]<br>
㢴,<big><font color='#f00' style='font-family: serif !important;'>xī</font></big><br>• old variant of 西[xī]<br>
㤅,<big><font color='#f00' style='font-family: serif !important;'>ài</font></big><br>• archaic variant of 愛|爱[ài]<br>
㤙,<big><font color='#f00' style='font-family: serif !important;'>ēn</font></big><br>• variant of 恩[ēn]<br>
㥁,<big><font color='#f00' style='font-family: serif !important;'>dé</font></big><br>• variant of 德[dé]<br>
㥏,<font color='#f00'>ㄊㄧㄢˇ</font><br>• ashamed<br>
㥦,<big><font color='#f00' style='font-family: serif !important;'>qiè</font></big><br>• variant of 愜|惬[qiè]<br>
㥯,<big><font color='#f00' style='font-family: serif !important;'>yǐn</font></big><br>• cautious<br>
㦂,<big><font color='#f00' style='font-family: serif !important;'>cháng</font></big><br>• old variant of 常[cháng]<br>
