character,defination
⺮,<big><font color='#f00'>zhú</font></big><font face='AR UDJingxihei'><br>• 'bamboo' radical in Chinese characters (Kangxi radical 118)<br></font>
々,<big><font color='#f00'>xx</font></big><font face='AR UDJingxihei'><br>• iteration mark (used to represent a duplicated character)<br></font>
〇,<big><font color='#f00'>líng</font></big><font face='AR UDJingxihei'><br>• zero<br></font>
〡,<big><font color='#f00'>yī</font></big><font face='AR UDJingxihei'><br>• numeral 1 in Suzhou numeral system 蘇州碼子|苏州码子[Sū zhōu mǎ zi]<br></font>
〢,<big><font color='#f00'>èr</font></big><font face='AR UDJingxihei'><br>• numeral 2 in Suzhou numeral system 蘇州碼子|苏州码子[Sū zhōu mǎ zi]<br></font>
〣,<big><font color='#f00'>sān</font></big><font face='AR UDJingxihei'><br>• numeral 3 in Suzhou numeral system 蘇州碼子|苏州码子[Sū zhōu mǎ zi]<br></font>
〤,<big><font color='#f00'>sì</font></big><font face='AR UDJingxihei'><br>• numeral 4 in Suzhou numeral system 蘇州碼子|苏州码子[Sū zhōu mǎ zi]<br></font>
〥,<big><font color='#f00'>wǔ</font></big><font face='AR UDJingxihei'><br>• numeral 5 in Suzhou numeral system 蘇州碼子|苏州码子[Sū zhōu mǎ zi]<br></font>
〦,<big><font color='#f00'>liù</font></big><font face='AR UDJingxihei'><br>• numeral 6 in Suzhou numeral system 蘇州碼子|苏州码子[Sū zhōu mǎ zi]<br></font>
〧,<big><font color='#f00'>qī</font></big><font face='AR UDJingxihei'><br>• numeral 7 in Suzhou numeral system 蘇州碼子|苏州码子[Sū zhōu mǎ zi]<br></font>
〨,<big><font color='#f00'>bā</font></big><font face='AR UDJingxihei'><br>• numeral 8 in Suzhou numeral system 蘇州碼子|苏州码子[Sū zhōu mǎ zi]<br></font>
〩,<big><font color='#f00'>jiǔ</font></big><font face='AR UDJingxihei'><br>• numeral 9 in Suzhou numeral system 蘇州碼子|苏州码子[Sū zhōu mǎ zi]<br></font>
〻,<big><font color='#f00'>xx</font></big><font face='AR UDJingxihei'><br>• iteration mark (used to represent a duplicated character)<br></font>
㐄,<big><font color='#f00'>kuà</font></big><font face='AR UDJingxihei'><br>• component in Chinese characters, mirror image of 夂[zhǐ]<br></font>
㐅,<big><font color='#f00'>wǔ</font></big><font face='AR UDJingxihei'><br>• archaic variant of 五[wǔ]<br></font>
㐆,<big><font color='#f00'>yǐn</font></big><font face='AR UDJingxihei'><br>• component in Chinese character 殷[yīn]<br></font>
㐌,<big><font color='#f00'>tā</font></big><font face='AR UDJingxihei'><br>• variant of 它[tā]<br></font>
㐖,<big><font color='#f00'>Yè</font></big><font face='AR UDJingxihei'><br>• see 㐖毒[Yè dú]<br></font>
㐜,<big><font color='#f00'>chóu</font></big><font face='AR UDJingxihei'><br>• variant of 仇[chóu]<br></font>
㐡,<big><font color='#f00'>nuò</font></big><font face='AR UDJingxihei'><br>• archaic variant of 懦[nuò]<br></font>
