character,defination
㑳,<font color='#f00'>ㄓㄡˋ</font><br/>[形]<br/>• 輕俏、乖巧。<br/>• 飄忽不定。<br/>
㑿,<font color='#f00'>ㄓㄠˋ</font><br/>[形]<br/>• 㑿㑿：長。<br/>
㒓,<font color='#f00'>ㄊㄚˋ</font><br/>• 參見「佻㒓」條。<br/>
㓦,<font color='#f00'>ㄅㄛˋ</font><br/>• 參見「㓦劃」條。<br/>
㔩,<font color='#f00'>ㄜˋ</font><br/>[名]<br/>• 婦人髮上的花飾。<br/>
㕙,<font color='#f00'>ㄐㄩㄣˋ</font><br/>[名]<br/>• 狡兔，或泛指兔子。<br/>
㕷,<font color='#f00'>ㄆㄚ / ㄆㄧㄚ</font><br/>[狀]<br/>• 形容拍擊的聲音。如：「㕷的一聲」。也作「拍」、「啪」。<br/><font color='#f00'>ㄆㄧㄚ</font><br/>• (一)之又音。<br/>
㖡,<font color='#f00'>ㄧㄝˋ</font><br/>[動]<br/>• 鳥夜鳴。<br/>
㖪,<font color='#f00'>ㄩˋ</font><br/>[動]<br/>• 忽然發出嚇人的聲音。<br/>
㘔,<font color='#f00'>ㄙㄞ / ㄙㄞˊ</font><br/>[動]<br/>• 吃、飽嘗。<br/><font color='#f00'>ㄙㄞˊ</font><br/>• (一)之又音。<br/>
㘺,• 「垡」的異體字。<br/>
㛂,<font color='#f00'>ㄋㄨㄛˇ</font><br/>• 參見「婐㛂」條。<br/>
㞞,<font color='#f00'>ㄙㄨㄥˊ</font><br/>[名]<br/>• 俗稱精液為「㞞」。<br/>
㟏,<font color='#f00'>ㄏㄢ</font><br/>[名]<br/>• 大谷。<br/>[形]<br/>• 參見「㟏岈」條。<br/>
㟭,• 「岷」的異體字。<br/>
㠯,• 「以」的異體字。<br/>
㡓,• 「褌」的異體字。<br/>
㣔,• 「仃」的異體字。<br/>
㥄,<font color='#f00'>ㄌㄧㄥˊ</font><br/>[動]<br/>• 哀憐。<br/>• 驚恐。<br/>
㥏,<font color='#f00'>ㄊㄧㄢˇ</font><br/>• 參見「㥏墨」條。<br/>
㨗,• 「捷」的異體字。<br/>
㩐,<font color='#f00'>ㄉㄣˋ</font><br/>[動]<br/>• 突然使勁用力拉。<br/>
㩳,<font color='#f00'>ㄙㄨㄥˇ</font><br/>[動]<br/>• 推。<br/>• 挺立、聳立。<br/>
㫃,<font color='#f00'>ㄧㄢˇ</font><br/>[形]<br/>• 旌旗隨風飛揚的樣子。<br/>
㬊,<font color='#f00'>ㄏㄨㄢˇ</font><br/>[形]<br/>• 明亮。<br/>[名]<br/>• 姓。如宋代有㬊淵。<br/>
㭘,<font color='#f00'>ㄒㄧㄚˊ</font><br/>[名]<br/>• 劍匣、劍鞘。<br/>
㯶,• 「棕」的異體字。<br/>
㲪,<font color='#f00'>ㄉㄥ</font><br/>• 參見「毾㲪」條。<br/>
㲯,<font color='#f00'>ㄌㄢˊ</font><br/>• 參見「㲯毿」條。<br/>
㳂,• 「沿」的異體字。<br/>
㵝,<font color='#f00'>ㄧˋ</font><br/>• 參見「溶㵝」條。<br/>
㵞,<font color='#f00'>ㄔㄡˊ</font><br/>[副]<br/>• 憂愁、鬱悶。<br/>
㶁,<font color='#f00'>ㄍㄨㄛˊ</font><br/>• 參見「㶁㶁」條。<br/>
㶟,<font color='#f00'>ㄌㄟˇ / ㄌㄟˊ</font><br/>• 參見「㶟水」條。<br/><font color='#f00'>ㄌㄟˊ</font><br/>• (一)之又音。<br/>
㸌,<font color='#f00'>ㄏㄨㄛˋ</font><br/>[形]<br/>• 閃爍、閃耀。<br/>
