character,defination
⺮,<big><font color='#f00'>zhú</font></big><br>• 'bamboo' radical in Chinese characters (Kangxi radical 118)<br>
々,<big><font color='#f00'>xx</font></big><br>• iteration mark (used to represent a duplicated character)<br>
〇,<big><font color='#f00'>líng</font></big><br>• zero<br>
〡,<big><font color='#f00'>yī</font></big><br>• numeral 1 in Suzhou numeral system 蘇州碼子|苏州码子[Sū zhōu mǎ zi]<br>
〢,<big><font color='#f00'>èr</font></big><br>• numeral 2 in Suzhou numeral system 蘇州碼子|苏州码子[Sū zhōu mǎ zi]<br>
〣,<big><font color='#f00'>sān</font></big><br>• numeral 3 in Suzhou numeral system 蘇州碼子|苏州码子[Sū zhōu mǎ zi]<br>
〤,<big><font color='#f00'>sì</font></big><br>• numeral 4 in Suzhou numeral system 蘇州碼子|苏州码子[Sū zhōu mǎ zi]<br>
〥,<big><font color='#f00'>wǔ</font></big><br>• numeral 5 in Suzhou numeral system 蘇州碼子|苏州码子[Sū zhōu mǎ zi]<br>
〦,<big><font color='#f00'>liù</font></big><br>• numeral 6 in Suzhou numeral system 蘇州碼子|苏州码子[Sū zhōu mǎ zi]<br>
〧,<big><font color='#f00'>qī</font></big><br>• numeral 7 in Suzhou numeral system 蘇州碼子|苏州码子[Sū zhōu mǎ zi]<br>
〨,<big><font color='#f00'>bā</font></big><br>• numeral 8 in Suzhou numeral system 蘇州碼子|苏州码子[Sū zhōu mǎ zi]<br>
〩,<big><font color='#f00'>jiǔ</font></big><br>• numeral 9 in Suzhou numeral system 蘇州碼子|苏州码子[Sū zhōu mǎ zi]<br>
〻,<big><font color='#f00'>xx</font></big><br>• iteration mark (used to represent a duplicated character)<br>
㐄,"<big><font color='#f00'>kuà</font></big><br>• component in Chinese characters, mirror image of 夂[zhǐ]<br>"
㐅,<big><font color='#f00'>wǔ</font></big><br>• archaic variant of 五[wǔ]<br>
㐆,<big><font color='#f00'>yǐn</font></big><br>• component in Chinese character 殷[yīn]<br>
㐌,<big><font color='#f00'>tā</font></big><br>• variant of 它[tā]<br>
㐖,<big><font color='#f00'>Yè</font></big><br>• see 㐖毒[Yè dú]<br>
㐜,<big><font color='#f00'>chóu</font></big><br>• variant of 仇[chóu]<br>
㐡,<big><font color='#f00'>nuò</font></big><br>• archaic variant of 懦[nuò]<br>
㐤,<big><font color='#f00'>qiú</font></big><br>• archaic variant of 求[qiú]<br>
㐫,<big><font color='#f00'>xiōng</font></big><br>• old variant of 凶[xiōng]<br>
㐰,<big><font color='#f00'>xìn</font></big><br>• old variant of 信[xìn]<br>
㐺,<big><font color='#f00'>zhòng</font></big><br>• old variant of 眾|众[zhòng]<br>
㑳,<big><font color='#f00'>zhòu</font></big><br>• (old) beautiful<br>• clever<br>
㑺,<big><font color='#f00'>jùn</font></big><br>• old variant of 俊[jùn]<br>
㒳,<big><font color='#f00'>liǎng</font></big><br>• old variant of 兩|两[liǎng]<br>
㒸,<big><font color='#f00'>suì</font></big><br>• archaic variant of 遂[suì]<br>
㒺,<big><font color='#f00'>wǎng</font></big><br>• old variant of 罔[wǎng]<br>
㓂,<big><font color='#f00'>kòu</font></big><br>• old variant of 寇[kòu]<br>
㔾,<big><font color='#f00'>jié</font></big><br>• 'seal' radical in Chinese characters (Kangxi radical 26)<br>
㕁,<big><font color='#f00'>què</font></big><br>• old variant of 卻|却[què]<br>
㕑,<big><font color='#f00'>chú</font></big><br>• old variant of 廚|厨[chú]<br>
㕥,<big><font color='#f00'>shēn</font></big><br>• old variant of 呻[shēn]<br>
㕥,<big><font color='#f00'>yǐ</font></big><br>• old variant of 以[yǐ]<br>
㕯,<big><font color='#f00'>nè</font></big><br>• old variant of 訥|讷[nè]<br>
㕻,<big><font color='#f00'>pǒu</font></big><br>• variant of 咅[pǒu]<br>• also pr. [tòu]<br>
㗂,<big><font color='#f00'>shěng</font></big><br>• variant of 省[shěng]<br>• tight-lipped<br>• to examine<br>• to watch<br>• to scour (esp. Cantonese)<br>
㗎,"<big><font color='#f00'>jià</font></big><br>• sentence-final particle, contraction of '嘅呀' (Cantonese)<br>• see also 嘅[kài]<br>"
㘭,<big><font color='#f00'>ào</font></big><br>• variant of 坳[ào]<br>
㚻,<big><font color='#f00'>jī</font></big><br>• see 㚻姦|㚻奸[jī jiān]<br>
㛂,<big><font color='#f00'>nuǒ</font></big><br>• graceful<br>• frail and petite<br>
㝄,<big><font color='#f00'>chún</font></big><br>• old variant of 純|纯[chún]<br>
㝇,<big><font color='#f00'>chún</font></big><br>• old variant of 鶉|鹑[chún]<br>
㝛,<big><font color='#f00'>sù</font></big><br>• old variant of 宿[sù]<br>
㝠,<big><font color='#f00'>míng</font></big><br>• old variant of 冥[míng]<br>
㝡,<big><font color='#f00'>zuì</font></big><br>• variant of 最[zuì]<br>
㝵,<big><font color='#f00'>ài</font></big><br>• variant of 礙|碍[ài]<br>
㝵,<big><font color='#f00'>dé</font></big><br>• to obtain<br>• old variant of 得[dé]<br>
㞎,<big><font color='#f00'>bǎ</font></big><br>• (baby talk) poop<br>• see 㞎㞎[bǎ ba]<br>
㞗,<big><font color='#f00'>qiú</font></big><br>• (dialect) penis<br>• dick<br>
㞙,<big><font color='#f00'>niào</font></big><br>• old variant of 尿[niào]<br>
㞞,<big><font color='#f00'>sóng</font></big><br>• (coll.) semen<br>• weak and incompetent<br>
㟁,<big><font color='#f00'>àn</font></big><br>• variant of 岸[àn]<br>
㠀,<big><font color='#f00'>dǎo</font></big><br>• variant of 島|岛[dǎo]<br>
㠯,<big><font color='#f00'>yǐ</font></big><br>• old variant of 以[yǐ]<br>
㠶,<big><font color='#f00'>fān</font></big><br>• variant of 帆[fān]<br>
㡌,<big><font color='#f00'>mào</font></big><br>• old variant of 帽[mào]<br>
㢘,<big><font color='#f00'>lián</font></big><br>• old variant of 廉[lián]<br>
㢠,<big><font color='#f00'>jiǒng</font></big><br>• variant of 迥[jiǒng]<br>
㢲,<big><font color='#f00'>xùn</font></big><br>• variant of 巽[xùn]<br>
㢴,<big><font color='#f00'>xī</font></big><br>• old variant of 西[xī]<br>
㤅,<big><font color='#f00'>ài</font></big><br>• archaic variant of 愛|爱[ài]<br>
㤙,<big><font color='#f00'>ēn</font></big><br>• variant of 恩[ēn]<br>
㥁,<big><font color='#f00'>dé</font></big><br>• variant of 德[dé]<br>
㥏,<big><font color='#f00'>tiǎn</font></big><br>• ashamed<br>
㥦,<big><font color='#f00'>qiè</font></big><br>• variant of 愜|惬[qiè]<br>
㥯,<big><font color='#f00'>yǐn</font></big><br>• cautious<br>
㦂,<big><font color='#f00'>cháng</font></big><br>• old variant of 常[cháng]<br>
㧯,<big><font color='#f00'>lǎo</font></big><br>• round-bottomed wicker basket<br>• (dialect) to lift<br>• to carry on one's shoulder<br>
㧱,<big><font color='#f00'>ná</font></big><br>• old variant of 拿[ná]<br>
㨃,<big><font color='#f00'>duǐ</font></big><br>• variant of 懟|怼[duǐ]<br>
㨗,<big><font color='#f00'>jié</font></big><br>• variant of 捷[jié]<br>• quick<br>• nimble<br>
㨪,<big><font color='#f00'>huǎng</font></big><br>• variant of 晃[huǎng]<br>
㨿,<big><font color='#f00'>jù</font></big><br>• variant of 據|据[jù]<br>
㩐,<big><font color='#f00'>dèn</font></big><br>• variant of 扽[dèn]<br>
㩗,<big><font color='#f00'>xié</font></big><br>• old variant of 攜|携[xié]<br>
㩜,<big><font color='#f00'>lǎn</font></big><br>• variant of 擥[lǎn]<br>
㩦,<big><font color='#f00'>xié</font></big><br>• old variant of 攜|携[xié]<br>
㪃,<big><font color='#f00'>hé</font></big><br>• to beat<br>• to hit<br>
㪋,<big><font color='#f00'>hàn</font></big><br>• variant of 捍[hàn]<br>
㪚,<big><font color='#f00'>sàn</font></big><br>• variant of 散[sàn]<br>
㪟,<big><font color='#f00'>dūn</font></big><br>• variant of 敦[dūn]<br>
㫺,<big><font color='#f00'>xī</font></big><br>• old variant of 昔[xī]<br>
㬉,<big><font color='#f00'>nuǎn</font></big><br>• old variant of 暖[nuǎn]<br>
㬎,<big><font color='#f00'>xiǎn</font></big><br>• old variant of 顯|显[xiǎn]<br>• visible<br>• apparent<br>
㮎,<big><font color='#f00'>bēi</font></big><br>• variant of 杯[bēi]<br>
㮚,<big><font color='#f00'>lì</font></big><br>• old variant of 栗[lì]<br>
㮸,<big><font color='#f00'>sòng</font></big><br>• variant of 送[sòng]<br>
㯭,<big><font color='#f00'>lǔ</font></big><br>• variant of 櫓|橹[lǔ]<br>
㯳,<big><font color='#f00'>qíng</font></big><br>• variant of 檠[qíng]<br>
㱃,<big><font color='#f00'>yǐn</font></big><br>• old variant of 飲|饮[yǐn]<br>
㱾,<big><font color='#f00'>gāi</font></big><br>• a kind of metal or jade ornament worn in ancient times to ward off evil spirits<br>
㲈,<big><font color='#f00'>sháo</font></big><br>• variant of 韶[sháo]<br>
㲈,<big><font color='#f00'>táo</font></big><br>• variant of 鞀[táo]<br>
㲋,<big><font color='#f00'>chuò</font></big><br>• ancient name for an animal similar to rabbit but bigger<br>
㲱,<big><font color='#f00'>liè</font></big><br>• old variant of 鬣[liè]<br>
㲾,<big><font color='#f00'>yǔ</font></big><br>• old variant of 雨[yǔ]<br>
㳂,<big><font color='#f00'>yán</font></big><br>• variant of 沿[yán]<br>
㳄,<big><font color='#f00'>xián</font></big><br>• variant of 涎[xián]<br>
㳒,<big><font color='#f00'>fǎ</font></big><br>• variant of 法[fǎ]<br>
㳮,<big><font color='#f00'>niào</font></big><br>• old variant of 尿[niào]<br>
㴱,<big><font color='#f00'>shēn</font></big><br>• old variant of 深[shēn]<br>
㵎,<big><font color='#f00'>jiàn</font></big><br>• variant of 澗|涧[jiàn]<br>
㵪,<big><font color='#f00'>xián</font></big><br>• variant of 涎[xián]<br>
㵮,<big><font color='#f00'>chún</font></big><br>• clear water<br>
㶸,"<big><font color='#f00'>xié</font></big><br>• (precise meaning unknown, relates to iron)<br>• variant of 協|协[xié]<br>"
㷖,<big><font color='#f00'>zhào</font></big><br>• old variant of 照[zhào]<br>
㷭,<big><font color='#f00'>fēng</font></big><br>• old variant of 烽[fēng]<br>
㹠,<big><font color='#f00'>tún</font></big><br>• old variant of 豚[tún]<br>
㹢,<big><font color='#f00'>jiā</font></big><br>• see 玃[jué]<br>
㹴,<big><font color='#f00'>gěng</font></big><br>• fierce dog<br>
㺢,<big><font color='#f00'>huò</font></big><br>• see 㺢㹢狓[huò jiā pī]<br>
㺵,<big><font color='#f00'>jiǔ</font></big><br>• variant of 玖[jiǔ]<br>• black jade<br>
㻽,<big><font color='#f00'>xuán</font></big><br>• variant of 璿|璇[xuán]<br>• also pr. [suì]<br>
㼝,<big><font color='#f00'>wǎn</font></big><br>• variant of 碗[wǎn]<br>
㽞,<big><font color='#f00'>liú</font></big><br>• old variant of 留[liú]<br>
㽮,<big><font color='#f00'>xīng</font></big><br>• old variant of 星[xīng]<br>
㿜,<big><font color='#f00'>biě</font></big><br>• variant of 癟|瘪[biě]<br>
㿝,<big><font color='#f00'>xiāng</font></big><br>• old variant of 香[xiāng]<br>
䂖,<big><font color='#f00'>shí</font></big><br>• variant of 石[shí]<br>
䂲,<big><font color='#f00'>fǎ</font></big><br>• variant of 砝[fǎ]<br>
䂶,<big><font color='#f00'>jié</font></big><br>• variant of 蜐[jié]<br>
䃉,<big><font color='#f00'>mín</font></big><br>• old variant of 珉[mín]<br>
䅵,<big><font color='#f00'>zhuó</font></big><br>• chaff<br>• bran<br>
䇲,<big><font color='#f00'>cè</font></big><br>• variant of 筴|策[cè]<br>
䈰,<big><font color='#f00'>shāo</font></big><br>• pot-scrubbing brush made of bamboo strips<br>• basket (container) for chopsticks<br>• variant of 筲[shāo]<br>
䊀,<big><font color='#f00'>hú</font></big><br>• variant of 糊[hú]<br>
䍃,<big><font color='#f00'>yáo</font></big><br>• (archaic) vase<br>• pitcher<br>
䍹,<big><font color='#f00'>shān</font></big><br>• variant of 羶[shān]<br>
䒗,<big><font color='#f00'>qì</font></big><br>• old variant of 芞[qì]<br>
䔢,<big><font color='#f00'>huá</font></big><br>• old variant of 華|华[huá]<br>
䕭,<big><font color='#f00'>qián</font></big><br>• a variety of grass<br>• nettle<br>
䕭,<big><font color='#f00'>xián</font></big><br>• a kind of vegetable<br>
䖟,<big><font color='#f00'>méng</font></big><br>• old variant of 虻[méng]<br>
䖸,<big><font color='#f00'>é</font></big><br>• variant of 蛾[é]<br>
䗈,<big><font color='#f00'>méng</font></big><br>• old variant of 虻[méng]<br>
䗥,<big><font color='#f00'>zōng</font></big><br>• see 螉䗥[wēng zōng]<br>
䗪,<big><font color='#f00'>zhè</font></big><br>• Chinese ground beetle (Eupolyphaga sinensis)<br>
䗬,<big><font color='#f00'>fēng</font></big><br>• variant of 蜂[fēng]<br>
䗶,<big><font color='#f00'>là</font></big><br>• old variant of 蠟|蜡[là]<br>
䘏,<big><font color='#f00'>xù</font></big><br>• variant of 恤[xù]<br>
䘑,<big><font color='#f00'>mài</font></big><br>• old variant of 脈|脉[mài]<br>
䘚,<big><font color='#f00'>zú</font></big><br>• variant of 卒[zú]<br>
䛐,<big><font color='#f00'>cí</font></big><br>• old variant of 詞|词[cí]<br>
䛟,<big><font color='#f00'>jiá</font></big><br>• variant of 唊[jiá]<br>
䝓,<big><font color='#f00'>liè</font></big><br>• old variant of 鬣[liè]<br>
䝔,<big><font color='#f00'>huān</font></big><br>• variant of 獾[huān]<br>
䞓,<big><font color='#f00'>chēng</font></big><br>• old variant of 赬|赪[chēng]<br>
䟆,<big><font color='#f00'>bì</font></big><br>• old variant of 蹕|跸[bì]<br>
䟖,<big><font color='#f00'>zhǐ</font></big><br>• erroneous variant of 趾[zhǐ]<br>
䠀,<big><font color='#f00'>chǎng</font></big><br>• to squat<br>• to sit<br>
䠀,<big><font color='#f00'>tāng</font></big><br>• old variant of 趟[tāng]<br>
䠞,<big><font color='#f00'>cù</font></big><br>• variant of 蹙[cù]<br>
䠶,<big><font color='#f00'>shè</font></big><br>• old variant of 射[shè]<br>
䤈,<big><font color='#f00'>xī</font></big><br>• old variant of 醯[xī]<br>
䥑,<big><font color='#f00'>mài</font></big><br>• meitnerium (chemistry)<br>
䥥,<big><font color='#f00'>lián</font></big><br>• old variant of 鐮|镰[lián]<br>
䥯,<big><font color='#f00'>bà</font></big><br>• plow<br>
䦉,<big><font color='#f00'>sì</font></big><br>• variant of 肆[sì]<br>
䦕,<big><font color='#f00'>pēng</font></big><br>• variant of 閛[pēng]<br>
䩦,<big><font color='#f00'>tiáo</font></big><br>• variant of 鞗[tiáo]<br>
䫏,<big><font color='#f00'>qī</font></big><br>• mask of a god used in ceremonies to exorcise demons and drive away pestilence<br>• (archaic) ugly<br>
䬃,<big><font color='#f00'>sà</font></big><br>• variant of 颯|飒[sà]<br>
䬠,<big><font color='#f00'>fēi</font></big><br>• old variant of 霏[fēi]<br>
䬪,<big><font color='#f00'>bó</font></big><br>• variant of 餺|馎[bó]<br>
䭾,<big><font color='#f00'>tuó</font></big><br>• variant of 馱|驮[tuó]<br>
䯝,<big><font color='#f00'>suǐ</font></big><br>• variant of 髓<br>• marrow<br>• essence<br>• quintessence<br>• pith (soft interior of plant stem)<br>
䰟,<big><font color='#f00'>hún</font></big><br>• old variant of 魂[hún]<br>
䰾,<big><font color='#f00'>bā</font></big><br>• see 䰾魚|鲃鱼[bā yú]<br>
䲔,<big><font color='#f00'>jīng</font></big><br>• old variant of 鯨|鲸[jīng]<br>
䳗,<big><font color='#f00'>é</font></big><br>• variant of 鵝|鹅[é]<br>
䳘,<big><font color='#f00'>é</font></big><br>• variant of 鵝|鹅[é]<br>
䴉,<big><font color='#f00'>huán</font></big><br>• spoonbill<br>• ibis<br>• family Threskiornithidae<br>
䴸,<big><font color='#f00'>fū</font></big><br>• variant of 麩|麸[fū]<br>
䵹,<big><font color='#f00'>zhī</font></big><br>• old variant of 蜘[zhī]<br>
䶊,<big><font color='#f00'>nu:4</font></big><br>• old variant of 衄[nu:4]<br>
䶑,<big><font color='#f00'>tì</font></big><br>• variant of 嚏[tì]<br>
一,<big><font color='#f00'>yī</font></big><br>• one<br>• 1<br>• single<br>• a (article)<br>• as soon as<br>• entire<br>• whole<br>• all<br>• throughout<br>• 'one' radical in Chinese characters (Kangxi radical 1)<br>• also pr. [yāo] for greater clarity when spelling out numbers digit by digit<br>
丁,<big><font color='#f00'>Dīng</font></big><br>• surname Ding<br>
丁,"<big><font color='#f00'>dīng</font></big><br>• fourth of the ten Heavenly Stems 十天干[shí tiān gān]<br>• fourth in order<br>• letter 'D' or roman 'IV' in list 'A, B, C', or 'I, II, III' etc<br>• ancient Chinese compass point: 195°<br>• butyl<br>• cubes (of food)<br>"
丂,<big><font color='#f00'>kǎo</font></big><br>• 'breath' or 'sigh' component in Chinese characters<br>
七,<big><font color='#f00'>qī</font></big><br>• seven<br>• 7<br>
丄,<big><font color='#f00'>shàng</font></big><br>• old variant of 上[shàng]<br>
丅,<big><font color='#f00'>xià</font></big><br>• old variant of 下[xià]<br>
丆,"<big><font color='#f00'>xx</font></big><br>• one of the characters used in kwukyel (phonetic 'myeon'), an ancient Korean writing system<br>"
万,<big><font color='#f00'>Mò</font></big><br>• see 万俟[Mò qí]<br>
丈,"<big><font color='#f00'>zhàng</font></big><br>• measure of length, ten Chinese feet (3.3 m)<br>• to measure<br>• husband<br>• polite appellation for an older male<br>"
三,<big><font color='#f00'>Sān</font></big><br>• surname San<br>
三,<big><font color='#f00'>sān</font></big><br>• three<br>• 3<br>
上,<big><font color='#f00'>shǎng</font></big><br>• see 上聲|上声[shǎng shēng]<br>
上,<big><font color='#f00'>shàng</font></big><br>• on top<br>• upon<br>• above<br>• upper<br>• previous<br>• first (of multiple parts)<br>• to climb<br>• to get onto<br>• to go up<br>• to attend (class or university)<br>
